"parameters","external","dataSource"
"aspect",TRUE,"geonorge"
"elevation",TRUE,"geonorge"
"precipitation",FALSE,"worldclim"
"slope",TRUE,"geonorge"
"temperature",FALSE,"worldclim"
"human_density",FALSE,"ssb"
"building_density",FALSE,"ssb"
"net_primary_productivity",TRUE,"modis"
"land_cover_corine",TRUE,"corine"
"ndvi_peak",TRUE,"modis"
"distance_water",TRUE,"geonorge"
"snow_cover",TRUE,"chelsa"
"distance_roads",TRUE,"geonorge"
"forest_line",TRUE,"nibio"
"kalkinnhold",TRUE,"artsdatabanken"
"losmasse",TRUE,"ngu"
"summer_precipitation",TRUE,"met"
"summer_temperature",TRUE,"met"
"habitat_heterogeneity",TRUE,"corine"
