"species","taxonomicGroup","selected","threatened","commonName","redListStatus"
"Fraxinus_excelsior","vascularPlants",TRUE,TRUE,"European ash","Endangered"
"Arnica_montana","vascularPlants",TRUE,TRUE,"Mountain arnica","Endangered"
"Ulmus_glabra","vascularPlants",TRUE,TRUE,"Scots elm","Endangered"
"Poa_glauca","vascularPlants",TRUE,FALSE,"Glaucous bluegrass","Least concern"
"Carex_atrata","vascularPlants",TRUE,FALSE,"Black alpine sedge","Least concern"
"Juniperus_communis","vascularPlants",TRUE,FALSE,"Common juniper","Least concern"
"Saxifraga_aizoides","vascularPlants",TRUE,FALSE,"Yellow saxifrage","Least concern"
"Vicia_sepium","vascularPlants",TRUE,FALSE,"Bush vetch","Least concern"
"Agrostis_capillaris","vascularPlants",TRUE,FALSE,"Common bent","Least concern"
"Geranium_sylvaticum","vascularPlants",TRUE,FALSE,"Wood crane’s bill","Least concern"
"Betula_pubescens","vascularPlants",TRUE,FALSE,"Silver birch","Least concern"
"Alectoria_sarmentosa","fungi",TRUE,FALSE,"Common witch’s-hair lichen","Least concern"
"Lobaria_pulmonaria","fungi",TRUE,FALSE,"Tree lungwort","Least concern"
"Bactrospora_corticola","fungi",TRUE,FALSE,"Bactrospora corticola","Least concern"
"Lecanactis_abietina","fungi",TRUE,FALSE,"Lecanactis abietina","Least concern"
"Cuphophyllus_pratensis","fungi",TRUE,FALSE,"Meadow waxcap","Least concern"
"Hygrocybe_conica","fungi",TRUE,FALSE,"Witch’s hat","Least concern"
"Sclerophora_pallida","fungi",TRUE,FALSE,"Sclerophora pallida","Least concern"
"Cuphophyllus_virgineus","fungi",TRUE,FALSE,"Snowy waxcap","Least concern"
"Niemelaea_consobrina","fungi",TRUE,TRUE,"Niemelaea consobrina","Vulnerable"
"Entoloma_neglectum","fungi",TRUE,TRUE,"Entoloma neglectum","Vulnerable"
"Hydnellum_martioflavum","fungi",TRUE,TRUE,"Hydnellum martioflavum","Vulnerable"
"Mitopus_morio","spiders",TRUE,FALSE,"Mitopus morio","Least concern"
"Centromerus_arcanus","spiders",TRUE,FALSE,"Centromerus arcanus","Least concern"
"Arctosa_cinerea","spiders",TRUE,TRUE,"Arctosa cinerea","Endangered"
"Psammitis_sabulosus","spiders",TRUE,TRUE,"Psammitis sabulosus","Vulnerable"
"Singa_nitidula","spiders",TRUE,TRUE,"Singa nitidula","Endangered"
"Tenuiphantes_alacris","spiders",TRUE,FALSE,"Tenuiphantes alacris","Least concern"
"Diplocentria_bidentata","spiders",TRUE,FALSE,"Diplocentria bidentata","Least concern"
"Rhagium_inquisitor","longhornBeetles",TRUE,FALSE,"Ribbed pine borer","Least concern"
"Rhagium_mordax","longhornBeetles",TRUE,FALSE,"Black-spotted longhorn beetle","Least concern"
"Gaurotes_virginea","longhornBeetles",TRUE,FALSE,"Gaurotes virginea","Least concern"
"Tetropium_castaneum","longhornBeetles",TRUE,FALSE,"Tetropium castaneum","Least concern"
"Oxymirus_cursor","longhornBeetles",TRUE,FALSE,"Oxymirus cursor","Least concern"
"Anastrangalia_sanguinolenta","longhornBeetles",TRUE,FALSE,"Anastrangalia sanguinolenta","Least concern"
"Evodinus_borealis","longhornBeetles",TRUE,TRUE,"Evodinus borealis","Endangered"
"Gnathacmaeops_pratensis","longhornBeetles",TRUE,TRUE,"Gnathacmaeops pratensis","Endangered"
